location,geo_customer_count,geo_avg_spend,geo_avg_prev_purchases,geo_avg_rating,geo_promo_rate,geo_total_revenue_est,geo_promo_dependency,geo_retention_proxy,geo_hv_share,loyal_hv_count,flag_high_density,flag_high_spend,flag_low_promo,flag_high_sat,flag_high_hv_share,opportunity_score,geo_opportunity
Alabama,89,59.1123595505618,27.44943820224719,3.7820224719101128,0.4044943820224719,146136,41.379775280898876,45.920550152645326,0.3707865168539326,19,1,0,1,1,1,4,High Opportunity
Alaska,72,67.59722222222223,28.09722222222222,3.802777777777778,0.4027777777777778,139515,40.983333333333334,47.14555088702147,0.4305555555555556,16,0,1,1,1,1,4,High Opportunity
Arizona,65,66.55384615384615,28.369230769230768,3.693846153846154,0.3384615384615385,130050,35.72923076923077,45.49260590390002,0.47692307692307695,16,0,1,1,0,1,3,Medium Opportunity
Arkansas,79,61.11392405063291,27.063291139240505,3.7240506329113923,0.46835443037974683,133699,46.643037974683544,44.10711059107187,0.3670886075949367,12,1,1,0,0,1,3,Medium Opportunity
California,95,59.0,24.49473684210526,3.834736842105263,0.42105263157894735,138622,43.886315789473684,43.83282795223352,0.3368421052631579,15,1,0,1,1,0,3,Medium Opportunity
Colorado,75,56.29333333333334,23.973333333333333,3.7266666666666666,0.41333333333333333,107478,43.477333333333334,42.099960410830995,0.32,11,0,0,1,0,0,1,Low Opportunity
Connecticut,78,54.17948717948718,24.0,3.6948717948717946,0.3333333333333333,104337,37.06666666666667,41.377158658335134,0.24358974358974358,12,0,0,1,0,0,1,Low Opportunity
Delaware,86,55.325581395348834,24.627906976744185,3.795348837209302,0.45348837209302323,119485,46.42790697674419,43.108932317112895,0.27906976744186046,7,1,0,0,1,0,2,Medium Opportunity
Florida,68,55.85294117647059,26.13235294117647,3.679411764705882,0.45588235294117646,106085,46.017647058823535,43.33451804251112,0.3235294117647059,7,0,0,0,0,0,0,Low Opportunity
Georgia,79,58.79746835443038,25.075949367088608,3.6240506329113926,0.4050632911392405,127003,42.3746835443038,44.48120696379818,0.3924050632911392,14,1,0,1,0,1,3,Medium Opportunity
Hawaii,65,57.723076923076924,29.16923076923077,3.673846153846154,0.49230769230769234,115759,47.71692307692308,48.06273130790778,0.4307692307692308,9,0,0,0,0,1,1,Low Opportunity
Idaho,93,60.075268817204304,24.204301075268816,3.781720430107527,0.40860215053763443,139257,43.00645161290323,41.70219210264751,0.3225806451612903,13,1,1,1,1,0,4,High Opportunity
Illinois,92,61.05434782608695,26.597826086956523,3.6445652173913046,0.40217391304347827,156279,41.53478260869566,44.9176397515528,0.32608695652173914,13,1,1,1,0,0,3,Medium Opportunity
Indiana,79,58.924050632911396,25.82278481012658,3.8063291139240505,0.569620253164557,126161,55.24050632911393,44.480175867815475,0.379746835443038,11,1,0,0,1,1,3,Medium Opportunity
Iowa,69,60.88405797101449,27.608695652173914,3.847826086956522,0.5217391304347826,121143,50.69565217391305,46.03212763366216,0.36231884057971014,11,0,1,0,1,1,3,Medium Opportunity
Kansas,63,54.55555555555556,23.38095238095238,3.803174603174603,0.23809523809523808,82556,29.6952380952381,43.30221155128718,0.2698412698412698,8,0,0,1,1,0,2,Medium Opportunity
Kentucky,79,55.721518987341774,26.417721518987342,3.7518987341772148,0.43037974683544306,120610,43.86329113924051,45.71909938659008,0.3291139240506329,14,1,0,0,1,0,2,Medium Opportunity
Louisiana,84,57.714285714285715,23.44047619047619,3.7726190476190475,0.4166666666666667,119301,43.957142857142856,44.59426170468187,0.27380952380952384,9,1,0,1,1,0,3,Medium Opportunity
Maine,77,56.98701298701299,22.649350649350648,3.841558441558442,0.35064935064935066,102793,38.99220779220779,42.257598312052096,0.2987012987012987,10,0,0,1,1,0,2,Medium Opportunity
Maryland,86,55.75581395348837,26.53488372093023,3.8058139534883724,0.4418604651162791,131268,44.734883720930235,45.05923913751547,0.3023255813953488,12,1,0,0,1,0,2,Medium Opportunity
Massachusetts,72,60.888888888888886,23.01388888888889,3.7152777777777777,0.4861111111111111,100046,49.68333333333334,42.8296747587924,0.2361111111111111,6,0,1,0,0,0,1,Low Opportunity
Michigan,73,62.0958904109589,26.945205479452056,3.823287671232877,0.3972602739726027,128034,41.0027397260274,43.79081232492997,0.4246575342465753,15,0,1,1,1,1,4,High Opportunity
Minnesota,88,56.55681818181818,26.21590909090909,3.753409090909091,0.4431818181818182,138497,44.96818181818182,45.019090909090906,0.36363636363636365,17,1,0,0,1,1,3,Medium Opportunity
Mississippi,80,61.0375,26.0125,3.75625,0.475,127769,47.595000000000006,43.89431652661064,0.2875,11,1,1,0,1,0,3,Medium Opportunity
Missouri,81,57.91358024691358,28.14814814814815,3.746913580246914,0.49382716049382713,137747,48.24691358024691,45.28894421966317,0.37037037037037035,11,1,0,0,0,1,2,Medium Opportunity
