customer_id,age,gender,item_purchased,category,purchase_amount,location,size,color,season,review_rating,subscription_status,payment_method,shipping_type,discount_applied,promo_code_used,previous_purchases,preferred_payment_method,frequency_of_purchases,discount_applied_flag,promo_code_used_flag,is_subscribed,purchase_freq_annual,total_spend_est,avg_order_value,purchase_count,est_annual_spend,value_tier,promo_usage_rate,promo_dependency_score,promo_segment,satisfaction_tier,satisfaction_flag,dissatisfied_high_value,retention_proxy_score,retention_proxy_tier,repeat_buyer,high_frequency_buyer,loyalty_score_1,loyalty_def1,loyalty_score_2,loyalty_def2,loyalty_segment,final_segment,geo_opportunity,opportunity_score,geo_avg_spend,geo_promo_rate,geo_customer_count,geo_hv_share,purchase_history_tier
1,55,Male,Blouse,Clothing,53,Kentucky,L,Gray,Winter,3.1,Yes,Credit Card,Express,Yes,Yes,14,Venmo,Fortnightly,1,1,1,26,795,53,15,1378,Low,1.0,94.4,Bargain Hunter,Neutral,0,0,36.9006162464986,Medium Retention Signal,1,1,0.17225375844287896,Low Loyalty,0.3958261373944596,Medium Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,2,55.721518987341774,0.43037974683544306,79,0.3291139240506329,Developing (6-15)
2,19,Male,Sweater,Clothing,64,Maine,L,Maroon,Winter,3.1,Yes,Bank Transfer,Express,Yes,Yes,2,Cash,Fortnightly,1,1,1,26,192,64,3,1664,Low,1.0,99.2,Bargain Hunter,Neutral,0,0,27.84918767507003,Low Retention Signal,0,1,0.0630192461326168,Low Loyalty,0.3944360128392994,Medium Loyalty,Low Loyalty,Low-Repeat Bargain Hunter,Medium Opportunity,2,56.98701298701299,0.35064935064935066,77,0.2987012987012987,New (0-5)
3,50,Male,Jeans,Clothing,73,Massachusetts,S,Maroon,Spring,3.1,Yes,Cash,Free Shipping,Yes,Yes,23,Credit Card,Weekly,1,1,1,52,1752,73,24,3796,Medium,1.0,90.8,Bargain Hunter,Neutral,0,0,56.434285714285714,High Retention Signal,1,1,0.28411736509550445,Low Loyalty,0.617048487544484,High Loyalty,Low Loyalty,Low-Value Low-Engagement,Low Opportunity,1,60.888888888888886,0.4861111111111111,72,0.2361111111111111,Established (16+)
4,21,Male,Sandals,Footwear,90,Rhode Island,M,Maroon,Spring,3.5,Yes,Paypal,Next Day Air,Yes,Yes,49,Paypal,Weekly,1,1,1,52,4500,90,50,4680,High,1.0,80.4,Promo Dependent,Neutral,0,0,79.24571428571427,High Retention Signal,1,1,0.6382903624083085,High Loyalty,0.8331628113879004,High Loyalty,High Loyalty,High-Value Promo-Dependent,Medium Opportunity,2,61.44444444444444,0.3968253968253968,63,0.2857142857142857,Established (16+)
5,45,Male,Blouse,Clothing,49,Oregon,M,Turquoise,Spring,2.7,Yes,Cash,Free Shipping,Yes,Yes,31,Paypal,Annually,1,1,1,1,1568,49,32,49,Medium,1.0,87.60000000000001,Promo Dependent,Dissatisfied,0,0,34.26857142857143,Low Retention Signal,1,0,0.2901835524245285,Low Loyalty,0.3311350830367734,Medium Loyalty,Low Loyalty,At-Risk Dissatisfied,Low Opportunity,1,57.33783783783784,0.5135135135135135,74,0.28378378378378377,Established (16+)
6,46,Male,Sneakers,Footwear,20,Wyoming,M,White,Summer,2.9,Yes,Venmo,Standard,Yes,Yes,14,Venmo,Weekly,1,1,1,52,300,20,15,1040,Low,1.0,94.4,Bargain Hunter,Dissatisfied,0,0,48.045714285714276,Medium Retention Signal,1,1,0.1268943278378967,Low Loyalty,0.3653024911032028,Medium Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,3,60.690140845070424,0.4225352112676056,71,0.39436619718309857,Developing (6-15)
7,63,Male,Shirt,Clothing,85,Montana,M,Gray,Fall,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,49,Cash,Quarterly,1,1,1,4,4250,85,50,340,High,1.0,80.4,Promo Dependent,Neutral,0,0,53.316302521008396,High Retention Signal,1,0,0.5994623671532671,High Loyalty,0.6144745220152118,High Loyalty,High Loyalty,High-Value Promo-Dependent,High Opportunity,5,60.25,0.375,96,0.34375,Established (16+)
8,27,Male,Shorts,Clothing,34,Louisiana,L,Charcoal,Winter,3.2,Yes,Debit Card,Free Shipping,Yes,Yes,19,Credit Card,Weekly,1,1,1,52,680,34,20,1768,Low,1.0,92.4,Bargain Hunter,Neutral,0,0,54.21714285714285,High Retention Signal,1,1,0.20404512552351906,Low Loyalty,0.431591043890866,Medium Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,3,57.714285714285715,0.4166666666666667,84,0.27380952380952384,Established (16+)
9,26,Male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Venmo,Express,Yes,Yes,8,Venmo,Annually,1,1,1,1,873,97,9,97,Low,1.0,96.80000000000001,Bargain Hunter,Dissatisfied,0,0,16.119999999999997,Low Retention Signal,1,0,0.10014539908490086,Low Loyalty,0.439913256227758,High Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,3,63.876543209876544,0.49382716049382713,81,0.35802469135802467,Developing (6-15)
10,57,Male,Handbag,Accessories,31,Missouri,M,Pink,Spring,4.8,Yes,Paypal,2-Day Shipping,Yes,Yes,4,Cash,Quarterly,1,1,1,4,155,31,5,124,Low,1.0,98.4,Bargain Hunter,Satisfied,1,0,32.173445378151264,Low Retention Signal,0,0,0.20906960079405426,Low Loyalty,0.2028419597376317,Low Loyalty,Low Loyalty,Low-Repeat Bargain Hunter,Medium Opportunity,2,57.91358024691358,0.49382716049382713,81,0.37037037037037035,New (0-5)
11,53,Male,Shoes,Footwear,34,Arkansas,L,Purple,Fall,4.1,Yes,Credit Card,Store Pickup,Yes,Yes,26,Bank Transfer,Bi-Weekly,1,1,1,26,918,34,27,884,Medium,1.0,89.60000000000001,Bargain Hunter,Satisfied,1,0,53.95204481792716,High Retention Signal,1,1,0.3330185198634613,Low Loyalty,0.34374651105994003,Medium Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,3,61.11392405063291,0.46835443037974683,79,0.3670886075949367,Established (16+)
12,30,Male,Shorts,Clothing,68,Hawaii,S,Olive,Winter,4.9,Yes,Paypal,Store Pickup,Yes,Yes,10,Bank Transfer,Fortnightly,1,1,1,26,748,68,11,1768,Low,1.0,96.00000000000001,Bargain Hunter,Satisfied,1,0,48.28347338935575,Medium Retention Signal,1,1,0.28897629941656383,Low Loyalty,0.43991347428651173,High Loyalty,Low Loyalty,Low-Value Low-Engagement,Low Opportunity,1,57.723076923076924,0.49230769230769234,65,0.4307692307692308,Developing (6-15)
13,61,Male,Coat,Outerwear,72,Delaware,M,Gold,Winter,4.5,Yes,Paypal,Express,Yes,Yes,37,Venmo,Fortnightly,1,1,1,26,2736,72,38,1872,High,1.0,85.2,Promo Dependent,Satisfied,1,0,65.44918767507004,High Retention Signal,1,1,0.5401946401336335,High Loyalty,0.570325692554602,High Loyalty,High Loyalty,High-Value Promo-Dependent,Medium Opportunity,2,55.325581395348834,0.45348837209302323,86,0.27906976744186046,Established (16+)
14,65,Male,Dress,Clothing,51,New Hampshire,M,Violet,Spring,4.7,Yes,Debit Card,Express,Yes,Yes,31,Paypal,Weekly,1,1,1,52,1632,51,32,2652,Medium,1.0,87.60000000000001,Promo Dependent,Satisfied,1,0,75.26857142857142,High Retention Signal,1,1,0.45397951920981916,Medium Loyalty,0.541181049822064,High Loyalty,Medium Loyalty,Low-Value Low-Engagement,Low Opportunity,1,59.42253521126761,0.43661971830985913,71,0.36619718309859156,Established (16+)
15,64,Male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Paypal,Free Shipping,Yes,Yes,34,Debit Card,Weekly,1,1,1,52,1855,53,35,2756,High,1.0,86.4,Promo Dependent,Satisfied,1,0,77.53142857142856,High Retention Signal,1,1,0.4855734379160917,Medium Loyalty,0.5606576215895611,High Loyalty,Medium Loyalty,High-Value Promo-Dependent,Medium Opportunity,3,60.42528735632184,0.41379310344827586,87,0.3218390804597701,Established (16+)
16,64,Male,Skirt,Clothing,81,Rhode Island,M,Teal,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,Yes,8,Paypal,Monthly,1,1,1,12,729,81,9,972,Low,1.0,96.80000000000001,Bargain Hunter,Dissatisfied,0,0,23.112156862745096,Low Retention Signal,1,1,0.10760447381799693,Low Loyalty,0.42450958586281484,Medium Loyalty,Low Loyalty,Low-Value Low-Engagement,Medium Opportunity,2,61.44444444444444,0.3968253968253968,63,0.2857142857142857,Developing (6-15)
17,25,Male,Sunglasses,Accessories,36,Alabama,S,Gray,Spring,4.1,Yes,Venmo,Next Day Air,Yes,Yes,44,Debit Card,Bi-Weekly,1,1,1,26,1620,36,45,936,Medium,1.0,82.4,Promo Dependent,Satisfied,1,0,67.52918767507,High Retention Signal,1,1,0.4848596121722709,Medium Loyalty,0.39163352173609656,Medium Loyalty,Medium Loyalty,Low-Value Low-Engagement,High Opportunity,4,59.1123595505618,0.4044943820224719,89,0.3707865168539326,Established (16+)
